Tree	Shift_order	Net_Diversification	Relative_Extinction	Taxa_No
152	1	0.120241333	0.397402514	Background
152	2	0.224701533	0.8013799	5_Euph_Bart_No_Africa
152	3	0.075899079	7.21E-07	4_Africa
154	1	0.231371057	4.97E-07	Background
154	2	0.296687865	0.861742975	6_S_Am
155	1	0.18751071	4.59E-07	Background
155	2	0.257764628	0.931704357	6_S_Am
155	3	0.186910705	0.937722247	0_Euphrasia
156	1	0.116249889	0.552334611	Background
156	2	0.349787762	0.410204063	5_Euph_Bart_No_Africa
156	3	0.082262363	1.98E-09	4_Africa
157	1	0.134045455	0.454879438	Background
157	2	0.271894835	0.856445204	5_Euph_Bart_No_Africa
157	3	0.085702481	4.44E-09	4_Africa
158	1	0.086732069	0.715509113	Background
158	2	0.356903173	0.218798659	5_Euph_Bart_No_Africa
158	3	0.080006092	9.22E-07	4_Africa
159	1	0.122682289	0.567738026	Background
159	2	0.333423153	0.610816549	5_Euph_Bart_No_Africa
159	3	0.080359218	9.67E-08	4_Africa
160	1	0.074721262	0.848978943	Background
160	2	0.306348188	0.688081028	5_Euph_Bart_No_Africa
160	3	0.07713367	2.77E-07	4_Africa
162	1	0.213548696	1.09E-05	Background
162	2	0.280649381	0.949302964	6_S_Am
163	1	0.171186418	0.208751212	Background
163	2	0.193058851	0.975463634	6_S_Am
163	3	0.202118606	0.946606222	0_Euphrasia
164	1	0.178773323	2.33E-06	Background
164	2	0.211461815	0.971205882	6_S_Am
164	3	0.17994193	0.948878189	0_Euphrasia
165	1	0.252057315	2.06E-06	Background
165	2	0.199351494	0.974078387	6_S_Am
165	3	2.27E-17	3.90E-06	3_B_alpina
166	1	0.135520592	0.434073661	Background
166	2	0.266118017	0.929589909	6_S_Am
166	3	0.204931664	0.847656209	0_Euphrasia
167	1	0.172388957	1.79E-05	Background
167	2	0.256345661	0.890688263	6_S_Am
168	1	0.14650618	0.187829896	Background
168	2	0.310534567	9.41E-07	5_Euph_Bart_No_Africa
168	3	0.062917079	4.34E-08	4_Africa
169	1	0.176093232	8.09E-08	Background
170	1	0.106245188	0.578147333	Background
170	2	0.267484002	0.445413054	5_Euph_Bart_No_Africa
170	3	0.066780911	3.79E-07	4_Africa
171	1	0.090483434	0.700771591	Background
171	2	0.258593742	3.02E-08	7_Internal
172	1	0.1428152	0.309790021	Background
172	2	0.290402494	0.376558206	5_Euph_Bart_No_Africa
172	3	0.07601295	8.08E-07	4_Africa
173	1	0.155498402	5.41E-05	Background
173	2	0.177408557	0.930386141	6_S_Am
173	3	0.197566337	0.850662234	0_Euphrasia
174	1	0.249674376	0.005043818	Background
175	1	0.110523402	0.494428588	Background
175	2	0.281635084	1.14E-06	7_Internal
176	1	0.141877733	0.10698282	Background
176	2	0.27196585	0.329580652	5_Euph_Bart_No_Africa
176	3	0.059841509	1.59E-07	4_Africa
177	1	0.111671026	0.375944289	Background
177	2	0.30394889	0.529166833	5_Euph_Bart_No_Africa
177	3	0.076167071	2.33E-07	4_Africa
178	1	0.125397759	0.294603479	Background
178	2	0.34607059	0.583555095	5_Euph_Bart_No_Africa
178	3	0.104582184	2.36E-07	4_Africa
179	1	0.161074587	0.206866185	Background
179	2	0.277935455	0.949922424	6_S_Am
179	3	0.184985072	0.944927583	0_Euphrasia
180	1	0.140906847	0.181816213	Background
180	2	0.294721117	0.431347537	5_Euph_Bart_No_Africa
180	3	0.064014525	8.29E-08	4_Africa
181	1	0.133319543	0.295357771	Background
181	2	0.322838527	3.36E-06	5_Euph_Bart_No_Africa
181	3	0.071447763	3.39E-08	4_Africa
182	1	0.088987279	0.688959546	Background
182	2	0.318707214	0.087771837	5_Euph_Bart_No_Africa
182	3	0.074609093	3.26E-06	4_Africa
183	1	0.238701283	0.017113837	Background
183	2	2.27E-17	3.90E-06	3_B_alpina
184	1	0.184874766	2.39E-07	Background
184	2	0.278401849	0.896050858	6_S_Am
185	1	0.111231226	0.363423531	Background
185	2	0.236720861	0.66863499	5_Euph_Bart_No_Africa
185	3	0.066277754	9.06E-07	4_Africa
186	1	0.124942661	0.468637396	Background
186	2	0.334760224	0.218077397	5_Euph_Bart_No_Africa
186	3	0.079574266	8.03E-07	4_Africa
187	1	0.217204795	9.42E-08	Background
187	2	0.271835097	0.921299491	6_S_Am
188	1	0.150930583	4.08E-07	Background
188	2	0.233920357	0.952185991	6_S_Am
188	3	0.229682474	0.678120355	0_Euphrasia
189	1	0.157255261	1.69E-06	Background
189	2	0.235870742	0.950269649	6_S_Am
189	3	0.173121502	0.905307364	0_Euphrasia
190	1	0.152534917	0.372631127	Background
190	2	0.269147879	0.922935358	6_S_Am
190	3	0.188473901	0.932095189	0_Euphrasia
191	1	0.140403595	0.225637351	Background
191	2	0.308569225	0.484546623	5_Euph_Bart_No_Africa
191	3	0.080980347	9.86E-07	4_Africa
192	1	0.08792281	0.607215522	Background
192	2	0.198638656	0.807697049	5_Euph_Bart_No_Africa
192	3	0.069463214	3.78E-07	4_Africa
193	1	0.122729333	0.212195247	Background
193	2	0.311440462	0.311042024	5_Euph_Bart_No_Africa
193	3	0.079039403	5.55E-08	4_Africa
194	1	0.134905187	2.24E-05	Background
194	2	0.274625418	0.778319835	5_Euph_Bart_No_Africa
194	3	0.100237827	3.07E-07	4_Africa
195	1	0.104057889	0.576849232	Background
195	2	0.215197503	0.864249612	5_Euph_Bart_No_Africa
195	3	0.085078799	5.22E-08	4_Africa
196	1	0.075747022	0.802553522	Background
196	2	0.318975416	2.91E-06	7_Internal
197	1	0.129450618	0.173409488	Background
197	2	0.280701799	0.000327919	7_Internal
198	1	0.125694133	0.269737768	Background
198	2	0.309589769	7.27E-07	7_Internal
199	1	0.146700139	3.23E-08	Background
199	2	0.271428469	0.923805218	6_S_Am
199	3	0.189634036	0.884023154	0_Euphrasia
200	1	0.153807746	9.19E-07	Background
200	2	0.273613352	0.898562058	6_S_Am
200	3	0.180920391	0.889738588	0_Euphrasia
201	1	0.131974032	0.049469657	Background
201	2	0.251720935	0.434527302	5_Euph_Bart_No_Africa
201	3	0.065577903	5.52E-07	4_Africa
202	1	0.149791793	4.98E-07	Background
202	2	0.244946635	0.894362839	6_S_Am
202	3	0.198724353	0.87115183	0_Euphrasia
203	1	0.074117963	0.775019253	Background
203	2	0.304775913	0.073445117	7_Internal
204	1	0.150371336	0.313252241	Background
204	2	0.393277985	9.10E-08	7_Internal
205	1	0.113150509	0.496952443	Background
205	2	0.321427213	0.000670332	5_Euph_Bart_No_Africa
205	3	0.070698304	9.58E-08	4_Africa
206	1	0.136912337	1.77E-05	Background
206	2	0.278326792	7.13E-06	5_Euph_Bart_No_Africa
206	3	0.058103278	1.91E-06	4_Africa
207	1	0.138195434	0.00916233	Background
207	2	0.340000406	0.018867259	5_Euph_Bart_No_Africa
207	3	0.075153699	1.85E-06	4_Africa
208	1	0.151303128	8.65E-07	Background
208	2	0.251157808	0.893816606	6_S_Am
208	3	0.198158018	0.851174595	0_Euphrasia
209	1	0.124991995	0.419623022	Background
209	2	0.286260325	0.556110274	5_Euph_Bart_No_Africa
209	3	0.083223481	8.84E-07	4_Africa
210	1	0.125974835	0.510544733	Background
210	2	0.353841738	0.201170568	5_Euph_Bart_No_Africa
210	3	0.08369486	3.82E-07	4_Africa
211	1	0.219320427	1.60E-06	Background
211	2	0.299887247	0.858300557	6_S_Am
212	1	0.206438309	4.46E-07	Background
212	2	0.242688382	0.896673908	6_S_Am
213	1	0.166518968	1.66E-06	Background
213	2	0.220645943	0.954070567	6_S_Am
213	3	0.199280498	0.919759433	0_Euphrasia
214	1	0.14016145	0.008238717	Background
214	2	0.337533646	0.891137577	6_S_Am
214	3	0.204786346	0.849276013	0_Euphrasia
215	1	0.176100868	6.71E-07	Background
215	2	0.238669473	0.949144723	6_S_Am
215	3	0.195722083	0.92353477	0_Euphrasia
216	1	0.083912156	0.748643333	Background
216	2	0.328571707	0.519858067	5_Euph_Bart_No_Africa
216	3	0.072336406	2.73E-07	4_Africa
217	1	0.109470796	0.469465922	Background
217	2	0.240430514	0.558904697	5_Euph_Bart_No_Africa
217	3	0.063329447	4.21E-07	4_Africa
218	1	0.127178551	6.13E-07	Background
218	2	0.272443135	0.381323187	5_Euph_Bart_No_Africa
218	3	0.065045479	1.83E-07	4_Africa
219	1	0.144745754	4.12E-06	Background
219	2	0.231791635	0.890041018	6_S_Am
219	3	0.223385564	0.725626886	0_Euphrasia
220	1	0.201723452	1.02E-06	Background
220	2	0.197299573	0.916965084	6_S_Am
221	1	0.136860563	0.064956593	Background
221	2	0.267919494	1.25E-05	7_Internal
222	1	0.095190712	0.561992566	Background
222	2	0.216187606	0.573913814	5_Euph_Bart_No_Africa
222	3	0.062051082	2.80E-07	4_Africa
223	1	0.114611177	0.521424343	Background
223	2	0.243124253	0.844462296	5_Euph_Bart_No_Africa
223	3	0.084946994	9.50E-07	4_Africa
224	1	0.13759064	0.054468088	Background
224	2	0.193224417	0.891565825	5_Euph_Bart_No_Africa
224	3	0.078601498	0.000277168	4_Africa
225	1	0.126831921	0.169326695	Background
225	2	0.268936579	0.928259785	6_S_Am
225	3	0.153377062	0.895719786	0_Euphrasia
226	1	0.217312495	2.63E-05	Background
226	2	0.245027232	0.895271435	6_S_Am
227	1	0.066845643	0.853094345	Background
227	2	0.054786468	1.98E-07	4_Africa
227	3	0.195492987	0.817096298	5_Euph_Bart_No_Africa
228	1	0.14650458	2.88E-06	Background
228	2	0.301435927	0.856184186	6_S_Am
229	1	0.236174606	2.73E-06	Background
229	2	0.261612295	0.944556684	6_S_Am
230	1	0.112884473	0.669336042	Background
230	2	0.284010786	0.949818437	6_S_Am
230	3	0.220685411	0.826738813	0_Euphrasia
231	1	0.223432166	1.67E-07	Background
231	2	0.255074996	0.944795303	6_S_Am
231	3	2.27E-17	3.90E-06	3_B_alpina
232	1	0.235479049	0.007045093	Background
232	2	2.27E-17	3.90E-06	3_B_alpina
233	1	0.110778286	0.232780751	Background
233	2	0.21428407	0.674794595	5_Euph_Bart_No_Africa
233	3	0.061456579	1.04E-07	4_Africa
234	1	0.21017146	7.29E-06	Background
234	2	0.264296689	0.926209403	6_S_Am
235	1	0.120037205	0.34561921	Background
